"url","tweet"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","When they go low, we go high. #ImWithHer #debate"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","@realDonaldTrump LMAO are you kidding me!? Thank you for this killing blow to your campaign! :) #nevertrump #imwithher #debates"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","Strap on your armor @HillaryClinton, you got this! #debate #WhenTheyGoLowWeGoHigh #GoHillary! #ImWithHer pic.twitter.com/kB3El8NAIa"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","@NBCNews good thing 4them that Trump has his tiny pussy groping hands on the table #NeverTrump #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","Hillary's former prosecutor has endorsed her. That speaks volumes for her - and for Trump. #ImWithHer #debate #debate2016pic.twitter.com/d7WUsPFn3p"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","Most Men Already are with Women ~ It's #PigsLikeTrump that are #PigsLikeTrump! #ImWithHer #ClintonKaine2016https://twitter.com/thomasclark92/status/785253178610548736 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","Months ago Donald Trump's people warned him not to use this Clinton ""accusers"" angle& here he is reveling in it. #debate, #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","Trump is sick. #ImWithHer more than ever now. https://twitter.com/danpfeiffer/status/785267721919311872 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","Trump-Backer Mark Burnett Has Warned Staff On “Apprentice” Leaks https://www.buzzfeed.com/juliareinstein/apprentice-pressure?utm_term=.kbG3RAe2jm … #debate #debatenight #imwithher"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","#Debates #ImWithHer That display by DT. Wow. I went from Hillary supporter to I WILL SWALLOW YOUR SOUL DONALD. I'll be fine. https://twitter.com/HillaryClinton/status/785266443898220544 …"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","In What UNHINGED MIND does @realDonaldTrump comparing His SCANDALS against those of Bill Clinton gain him ground in for POTUS? #ImWithHer"
"https://twitter.com/search?l=&q=%23imwithher%20since%3A2016-10-09%20until%3A2016-10-10&src=typd&lang=en","It's going to be UGLY tonight...a press conference with Bill Clinton's accusers? Trumpster: Gangsta and psychopath. #imwithher"
